ID,Title,Duration,Rating,Language,Country,ReleaseYear,Genres,StoryLine,Rated,Director
,Blue Velvet,2h,7.7,,,1986,Drama,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",18,David Lynch
,The Wicker Man,1h 28m,7.5,,,1973,Mystery,"A puritan police sergeant arrives in a Scottish island village in search of a missing girl, who the pagan locals claim never existed.",X,Robin Hardy
,Eternal Sunshine of the Spotless Mind,1h 48m,8.3,,,2004,Romance,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",15,Michel Gondry
,The Princess Bride,1h 38m,8.0,,,1987,Quest,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,Rob Reiner
,A Clockwork Orange,2h 16m,8.2,,,1971,Sci-Fi,Alex DeLarge and his droogs barbarize a decaying near-future.,X,Stanley Kubrick
,Go,1h 42m,7.2,,,1999,N/A,The aftermath of a drug deal as told from three different points of view.,18,Doug Liman
,Stand by Me,1h 29m,8.1,,,1986,Drama,A writer recounts a childhood journey with his friends to find the body of a missing boy.,15,Rob Reiner
,The Lord of the Rings: The Return of the King,3h 21m,9.0,,,2003,Mountain Adventure,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,12A,Peter Jackson
,Terminator 2: Judgment Day,2h 17m,8.6,,,1991,Dystopian Sci-Fi,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",15,James Cameron
,Toy Story 2,1h 32m,7.9,,,1999,Urban Adventure,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",U,"John Lasseter, Ash Brannon, Lee Unkrich"
,Saving Private Ryan,2h 49m,8.6,,,1998,War,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",15,Steven Spielberg
,Indiana Jones and the Last Crusade,2h 7m,8.2,,,1989,Quest,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",PG,Steven Spielberg
,Sin City,2h 4m,8.0,,,2005,N/A,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",18,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
,Saw,1h 43m,7.6,,,2004,Thriller,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer.",18,James Wan
,My Left Foot,1h 43m,7.8,,,1989,N/A,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",15,Jim Sheridan
,Bowling for Columbine,2h,8.0,,,2002,Drama,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.,15,Michael Moore
,Man on Fire,2h 26m,7.7,,,2004,Drama,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",18,Tony Scott
,Almost Famous,2h 2m,7.9,,,2000,Showbiz Drama,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,15,Cameron Crowe
,High Fidelity,1h 53m,7.4,,,2000,Drama,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",15,Stephen Frears
,Django Unchained,2h 45m,8.5,,,2012,Comedy,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",18,Quentin Tarantino
,12 Angry Men,1h 36m,9.0,,,1957,Drama,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,U,Sidney Lumet
,Memento,1h 53m,8.4,,,2000,Thriller,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",15,Christopher Nolan
,Rain Man,2h 13m,8.0,,,1988,N/A,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",15,Barry Levinson
,Minority Report,2h 25m,7.6,,,2002,Dystopian Sci-Fi,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",12,Steven Spielberg
,Goldfinger,1h 50m,7.7,,,1964,Thriller,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",PG,Guy Hamilton
,The Social Network,2h,7.8,,,2010,Biography,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",12A,David Fincher
,American Psycho,1h 42m,7.6,,,2000,Serial Killer,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",18,Mary Harron
,Men in Black,1h 38m,7.3,,,1997,High-Concept Comedy,"James, an NYC cop, is hired by Agent K of a secret government agency that monitors extraterrestrial life on Earth. Together, they must recover an item that has been stolen by an intergalactic villain.",12,Barry Sonnenfeld
,No Country for Old Men,2h 2m,8.2,,,2007,Drama,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,15,"Ethan Coen, Joel Coen"
,Airplane!,1h 28m,7.7,,,1980,Slapstick,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.",PG,"Jim Abrahams, David Zucker, Jerry Zucker"
,There Will Be Blood,2h 38m,8.2,,,2007,Tragedy,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",12A,Paul Thomas Anderson
,Inception,2h 28m,8.8,,,2010,Sci-Fi Epic,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",12A,Christopher Nolan
,JFK,3h 9m,8.0,,,1991,Political Thriller,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,15,Oliver Stone
,King Kong,3h 7m,7.2,,,2005,Globetrotting Adventure,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",12A,Peter Jackson
,The Terminator,1h 47m,8.1,,,1984,Time Travel,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,18,James Cameron
,The Lord of the Rings: The Fellowship of the Ring,2h 58m,8.9,,,2001,Quest,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG,Peter Jackson
,Kill Bill: Vol. 1,1h 51m,8.2,,,2003,Crime,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",18,Quentin Tarantino
,The Silence of the Lambs,1h 58m,8.6,,,1991,Serial Killer,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",18,Jonathan Demme
,The Color of Money,1h 59m,7.0,,,1986,N/A,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",15,Martin Scorsese
,This Is England,1h 41m,7.7,,,2006,N/A,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",18,Shane Meadows
,It's a Wonderful Life,2h 10m,8.6,,,1946,Psychological Drama,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,U,Frank Capra
,Children of Men,1h 49m,7.9,,,2006,Action,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",15,Alfonso Cuarón
,In the Name of the Father,2h 13m,8.1,,,1993,Prison Drama,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",15,Jim Sheridan
,American History X,1h 59m,8.5,,,1998,Drama,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",18,Tony Kaye
,Twelve Monkeys,2h 9m,8.0,,,1995,Time Travel,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",15,Terry Gilliam
,Dog Day Afternoon,2h 5m,8.0,,,1975,Crime,"Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",X,Sidney Lumet
,The Untouchables,1h 59m,7.8,,,1987,Police Procedural,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",15,Brian De Palma
,Close Encounters of the Third Kind,2h 18m,7.6,,,1977,N/A,"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.",PG,Steven Spielberg
,"The Good, the Bad and the Ugly",2h 28m,8.8,,,1966,Period Drama,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,18,Sergio Leone
,Glengarry Glen Ross,1h 40m,7.7,,,1992,Mystery,An examination of the machinations behind the scenes at a real estate office.,15,James Foley
,The Wolf of Wall Street,3h,8.2,,,2013,Satire,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",18,Martin Scorsese
,Road to Perdition,1h 57m,7.7,,,2002,Psychological Drama,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",15,Sam Mendes
,Up,1h 36m,8.3,,,2009,Adventure,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",U,"Pete Docter, Bob Peterson"
,Natural Born Killers,1h 59m,7.2,,,1994,Crime,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,18,Oliver Stone
,Out of Sight,2h 3m,7.0,,,1998,Drama,"A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped.",15,Steven Soderbergh
,The Bourne Identity,1h 59m,7.8,,,2002,Spy,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",12A,Doug Liman
,An American Werewolf in London,1h 37m,7.5,,,1981,Supernatural Horror,"American college students David Kessler and Jack Goodman on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists. Jack dies. David recovers in a hospital, where he has nightmares.",X,John Landis
,United 93,1h 51m,7.6,,,2006,History,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",15,Paul Greengrass
,Full Metal Jacket,1h 56m,8.2,,,1987,N/A,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,18,Stanley Kubrick
,The General,2h 4m,7.2,,,1998,Thriller,"The real-life story of Dublin folk hero and criminal Martin Cahill, who pulled off two daring robberies in Ireland with his team, but attracted unwanted attention from the police, the I.R.A., the U.V.F., and members of his own team.",15,John Boorman
,The Deer Hunter,3h 3m,8.1,,,1978,War,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,X,Michael Cimino
,Desperado,1h 44m,7.1,,,1995,One-Person Army Action,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,18,Robert Rodriguez
,Interview with the Vampire: The Vampire Chronicles,2h 3m,7.5,,,1994,Supernatural Horror,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",18,Neil Jordan
,Things to Do in Denver When You're Dead,1h 55m,6.7,,,1995,Thriller,Five different criminals face imminent death after botching a job quite badly.,18,Gary Fleder
,Little Miss Sunshine,1h 41m,7.8,,,2006,Comedy,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,15,"Jonathan Dayton, Valerie Faris"
,Carlito's Way,2h 24m,7.9,,,1993,Thriller,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",18,Brian De Palma
,Casino Royale,2h 24m,8.0,,,2006,Adventure,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",15,Martin Campbell
,Dirty Harry,1h 42m,7.7,,,1971,Thriller,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",X,"Don Siegel, Clint Eastwood"
,Gremlins,1h 46m,7.3,,,1984,Monster Horror,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,15,Joe Dante
,Butch Cassidy and the Sundance Kid,1h 50m,8.0,,,1969,Western,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels..",PG,George Roy Hill
,Ocean's Eleven,1h 56m,7.7,,,2001,Thriller,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event.",12,Steven Soderbergh
,The Lord of the Rings: The Two Towers,2h 59m,8.8,,,2002,Fantasy Epic,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",12A,Peter Jackson
,Amores perros,2h 34m,8.0,,,2000,N/A,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",18,Alejandro G. Iñárritu
,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1h 24m,7.4,,,2006,Comedy,Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.,15,Larry Charles
,Austin Powers: The Spy Who Shagged Me,1h 35m,6.7,,,1999,Adventure,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",12,Jay Roach
