ID,Title,Duration,Rating,Language,Country,ReleaseYear,Genres,StoryLine,Rated,Director
,The Fugitive,2h 10m,7.8,,,1993,Drama,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",12,Andrew Davis
,Star Wars: Episode IV - A New Hope,2h 1m,8.6,,,1977,Quest,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",U,George Lucas
,The Hustler,2h 14m,7.9,,,1961,N/A,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,X,Robert Rossen
,A Fistful of Dollars,1h 39m,7.9,,,1964,Western,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",15,Sergio Leone
,Don't Look Now,1h 50m,7.1,,,1973,Horror,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",X,Nicolas Roeg
,Fantastic Mr. Fox,1h 27m,7.9,,,2009,Stop Motion Animation,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,PG,Wes Anderson
,The Mist,2h 6m,7.1,,,2007,Sci-Fi,"A thick fog descends upon a rural community, killing anyone caught outside, survivors seek refuge in a local store. Trapped in a darkened cloud of pure horror, the frightened denizens of the town must fend off murderous monster waves.",15,Frank Darabont
,Field of Dreams,1h 47m,7.5,,,1989,Family,"Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",PG,Phil Alden Robinson
,Rise of the Planet of the Apes,1h 45m,7.6,,,2011,Thriller,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,12A,Rupert Wyatt
,Moneyball,2h 13m,7.6,,,2011,Drama,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,12A,Bennett Miller
,Jackass Number Two,1h 32m,7.0,,,2006,N/A,"Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",18,Jeff Tremaine
,The Fighter,1h 56m,7.8,,,2010,Drama,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",15,David O. Russell
,Mud,2h 10m,7.4,,,2012,Adventure,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,12A,Jeff Nichols
,Headhunters,1h 40m,7.5,,,2011,Crime,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary.,15,Morten Tyldum
,This Is the End,1h 47m,6.6,,,2013,Fantasy,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",15,"Evan Goldberg, Seth Rogen"
,Gone Girl,2h 29m,8.1,,,2014,Suspense Mystery,The husband of a missing woman becomes the chief suspect in her disappearance.,18,David Fincher
,Guardians of the Galaxy,2h 1m,8.0,,,2014,Action,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,12A,James Gunn
,The Raid 2,2h 30m,7.9,,,2014,Thriller,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",18,Gareth Evans
,Mad Max: Fury Road,2h,8.1,,,2015,Desert Adventure,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",15,George Miller
,The Descent,1h 39m,7.2,,,2005,Adventure,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",18,Neil Marshall
,Patriots Day,2h 13m,7.3,,,2016,Action,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",15,Peter Berg
,2001: A Space Odyssey,2h 29m,8.3,,,1968,Space Sci-Fi,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",U,Stanley Kubrick
,Insomnia,1h 58m,7.2,,,2002,Drama,"Will Dormer, a police detective, is sent to investigate a teenage girl's murder to a small fishing town where he accidentally shoots his co-detective and is afflicted by insomnia brought by the guilt.",15,Christopher Nolan
,Capturing the Friedmans,1h 47m,7.6,,,2003,Documentary,"Documentary on the Friedmans, a seemingly typical, upper-middle-class Jewish family whose world is instantly transformed when the father and his youngest son are arrested and charged with shocking and horrible crimes.",15,Andrew Jarecki
,The Curious Case of Benjamin Button,2h 46m,7.8,,,2008,Drama,"Benjamin Button, born in 1918 with the physical state of an elderly man, ages in reverse. He experiences love and break-ups, ecstasy and sorrow, and timelessness by the time he dies in 2003 as a baby.",12A,David Fincher
,Batman,2h 6m,7.5,,,1989,Urban Adventure,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",12,Tim Burton
,Sleepy Hollow,1h 45m,7.3,,,1999,Fantasy,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,15,Tim Burton
,The Third Man,1h 44m,8.1,,,1949,Mystery,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",PG,Carol Reed
,Spider-Man 2,2h 7m,7.5,,,2004,Adventure,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,PG,Sam Raimi
,24 Hour Party People,1h 57m,7.3,,,2002,Music,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",18,Michael Winterbottom
,The Blair Witch Project,1h 21m,6.5,,,1999,Psychological Horror,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",15,"Daniel Myrick, Eduardo Sánchez"
,End of Watch,1h 49m,7.6,,,2012,Action,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves.",15,David Ayer
,WALL·E,1h 38m,8.4,,,2008,Dystopian Sci-Fi,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",U,Andrew Stanton
,The Imposter,1h 39m,7.5,,,2012,Psychological Thriller,A documentary centered on a young man in Spain who claims to a grieving Texas family that he is their 16-year-old son who has been missing for 3 years.,15,Bart Layton
,Salvador,2h 2m,7.4,,,1986,War,A burnt-out photojournalist becomes involved in a Central American revolution.,18,Oliver Stone
,X-Men 2,2h 14m,7.4,,,2003,Thriller,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",12A,Bryan Singer
,Spider-Man,2h 1m,7.4,,,2002,Adventure,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",PG,Sam Raimi
,North by Northwest,2h 16m,8.3,,,1959,Mystery,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",PG,Alfred Hitchcock
,Inside Man,2h 9m,7.6,,,2006,Mystery,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",15,Spike Lee
,Face/Off,2h 18m,7.3,,,1997,Sci-Fi,"To foil a terrorist plot, FBI agent Sean Archer assumes the identity of the criminal Castor Troy who murdered his son through facial transplant surgery, but the crook wakes up prematurely and vows revenge.",18,John Woo
,The Lego Movie,1h 40m,7.7,,,2014,Quest,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",U,"Phil Lord, Christopher Miller"
,Battle Royale,1h 54m,7.5,,,2000,Thriller,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill one another under the revolutionary ""Battle Royale"" act.",18,Kinji Fukasaku
,Mission: Impossible - Ghost Protocol,2h 12m,7.4,,,2011,Thriller,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",12A,Brad Bird
,Mission: Impossible,1h 50m,7.2,,,1996,Adventure,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",PG,Brian De Palma
,Collateral,2h,7.5,,,2004,Thriller,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,15,Michael Mann
,Edge of Tomorrow,1h 53m,7.9,,,2014,Time Travel,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",12A,Doug Liman
,Snowpiercer,2h 6m,7.1,,,2013,Drama,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.",15,Bong Joon Ho
,Blade,2h,7.1,,,1998,Action,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",18,Stephen Norrington
,The Artist,1h 40m,7.8,,,2011,Comedy,"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.",PG,Michel Hazanavicius
,The Crying Game,1h 52m,7.2,,,1992,Crime,"A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world.",18,Neil Jordan
,Grizzly Man,1h 43m,7.8,,,2005,N/A,"A devastating and heart-rending take on grizzly bear activists Timothy Treadwell and Amie Huguenard, who were killed in October of 2003 while living among grizzly bears in Alaska.",15,Werner Herzog
,Starship Troopers,2h 9m,7.3,,,1997,Action,"Humans, in a fascist militaristic future, wage war with giant alien bugs.",15,Paul Verhoeven
,Dig!,1h 47m,7.7,,,2004,N/A,"A documentary on the once-promising American rock bands The Brian Jonestown Massacre and The Dandy Warhols, and the friendship/rivalry between their respective founders, Anton Newcombe and Courtney Taylor.",15,Ondi Timoner
,Hidden (Caché),1h 57m,7.3,,,2005,Thriller,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,15,Michael Haneke
,Come and See,2h 22m,8.3,,,1985,War Epic,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",15,Elem Klimov
,13 Assassins,2h 21m,7.5,,,2010,Action,A group of assassins come together for a suicide mission to kill an evil lord.,15,Takashi Miike
,Gone Baby Gone,1h 54m,7.6,,,2007,Crime,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",15,Ben Affleck
,Rango,1h 47m,7.3,,,2011,Contemporary Western,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",PG,Gore Verbinski
,Three Colors: White,1h 32m,7.6,,,1994,Tragic Romance,"After his wife divorces him, a Polish immigrant plots to get even with her.",15,Krzysztof Kieslowski
,Murderball,1h 25m,7.7,,,2005,N/A,"Quadriplegics, who play full-contact rugby in wheelchairs, overcome unimaginable obstacles to compete in the Paralympic Games in Athens, Greece.",15,"Henry Alex Rubin, Dana Adam Shapiro"
,Dogville,2h 58m,8.0,,,2003,Drama,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",15,Lars von Trier
,Blow Out,1h 48m,7.4,,,1981,Drama,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,X,Brian De Palma
,Marley,2h 24m,7.9,,,2012,N/A,"A documentary on the life, music, and legacy of Bob Marley.",15,Kevin Macdonald
,American Splendor,1h 41m,7.4,,,2003,N/A,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,15,"Shari Springer Berman, Robert Pulcini"
,Changeling,2h 21m,7.7,,,2008,Biography,"After Christine's son goes missing, she reaches out to the LAPD to find him, but when they try to pass off an impostor as her son to quiet public protests, she refuses to accept him or give up hope.",15,Clint Eastwood
,Braveheart,2h 58m,8.3,,,1995,War Epic,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,15,Mel Gibson
,The Fisher King,2h 17m,7.5,,,1991,Fantasy,"A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake.",15,Terry Gilliam
,Wild at Heart,2h 5m,7.2,,,1990,Drama,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,18,David Lynch
,Control,2h 2m,7.6,,,2007,Drama,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to die by suicide at the age of 23.",15,Anton Corbijn
,In the Loop,1h 46m,7.4,,,2009,N/A,A political satire about a group of skeptical American and British operatives attempting to prevent a war between two countries.,15,Armando Iannucci
,Cop Land,1h 45m,7.0,,,1997,Thriller,"The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.",15,James Mangold
,Oldboy,2h,8.3,,,2003,Action,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",18,Park Chan-wook
,Black Swan,1h 48m,8.0,,,2010,Thriller,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",15,Darren Aronofsky
,Memories of Murder,2h 11m,8.1,,,2003,Serial Killer,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",15,Bong Joon Ho
,Willy Wonka & the Chocolate Factory,1h 40m,7.8,,,1971,Comedy,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,U,Mel Stuart
,Argo,2h,7.7,,,2012,Political Thriller,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",15,Ben Affleck
,Dawn of the Planet of the Apes,2h 10m,7.6,,,2014,Drama,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,12A,Matt Reeves
,The Taking of Pelham One Two Three,1h 44m,7.6,,,1974,Crime,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?",AA,Joseph Sargent
,50/50,1h 40m,7.6,,,2011,Romance,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",15,Jonathan Levine
,Notting Hill,2h 4m,7.2,,,1999,Showbiz Drama,"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.",15,Roger Michell
,The Grand Budapest Hotel,1h 39m,8.1,,,2014,Comedy,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",15,Wes Anderson
,The Proposition,1h 44m,7.3,,,2005,Crime,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.",18,John Hillcoat
,Bernie,1h 39m,6.8,,,2011,Comedy,"In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.",12A,Richard Linklater
,The Aviator,2h 50m,7.5,,,2004,Biography,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,12A,Martin Scorsese
,Knuckle,1h 37m,6.8,,,2011,N/A,An epic 12-year journey into the brutal and secretive world of Irish Traveler bare-knuckle fighting. This film follows a history of violent feuding between rival clans.,15,Ian Palmer
,Paths of Glory,1h 28m,8.4,,,1957,War,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,PG,Stanley Kubrick
,A Hard Day's Night,1h 27m,7.5,,,1964,Comedy,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",PG,Richard Lester
,Holy Motors,1h 55m,7.0,,,2012,N/A,"A man boards a limousine to be driven to his day's work: nine mysterious ""appointments.""",18,Leos Carax
,Moonrise Kingdom,1h 34m,7.8,,,2012,Romantic Comedy,"Two 12-year-olds, who live on an island, fall in love with each other and elope into the wilderness. While people set out on a search mission, a violent storm approaching them catches their attention.",12A,Wes Anderson
,Capitalism: A Love Story,2h 7m,7.4,,,2009,N/A,An examination of the social costs of corporate interests pursuing profits at the expense of the public good.,12A,Michael Moore
,Galaxy Quest,1h 42m,7.4,,,1999,Adventure,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",PG,Dean Parisot
,A Room for Romeo Brass,1h 30m,7.5,,,1999,N/A,"After stopping 12 y.o. Romeo and Gavin from being beaten up, Morell drives them home and meets Romeo's adult sister and falls in love. The boys ""help"" him in his pursuit.",15,Shane Meadows
,Big,1h 44m,7.3,,,1988,Comedy,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",12A,Penny Marshall
,Mesrine Part 1: Killer Instinct,1h 53m,7.5,,,2008,Biography,"The story of the notorious French gangster Jacques Mesrine, with the focus on his life before the early 1970s and the events that led to him being declared Public Enemy No. 1 in France.",15,Jean-François Richet
,Performance,1h 45m,6.7,,,1970,N/A,A violent East London gangster undergoes a transformation of identity while hiding from his former colleagues in the home of a jaded Bohemian rock star and his two girlfriends.,X,"Donald Cammell, Nicolas Roeg"
,Michael Clayton,1h 59m,7.2,,,2007,Mystery,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.",15,Tony Gilroy
,The Fifth Element,2h 6m,7.6,,,1997,Adventure,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",PG,Luc Besson
,Shaun of the Dead,1h 39m,7.9,,,2004,Zombie Horror,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",15,Edgar Wright
,The Spy Who Loved Me,2h 5m,7.0,,,1977,Thriller,"James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. agent whose lover he killed.",PG,Lewis Gilbert
,A Monster Calls,1h 48m,7.4,,,2016,Family,"Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.",12A,J.A. Bayona
,"I, Tonya",1h 59m,7.5,,,2017,Biography,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",15,Craig Gillespie
,The Secret in Their Eyes,2h 9m,8.2,,,2009,Period Drama,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,18,Juan José Campanella
,Broadcast News,2h 13m,7.3,,,1987,Drama,"Two television network reporters - one smart but insecure, the other less knowledgeable but more telegenic - compete for the friendship, respect and romantic interest of a hard-driven, neurotic female producer.",15,James L. Brooks
,The Goonies,1h 54m,7.7,,,1985,Adventure,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,12A,Richard Donner
,Rebel Without a Cause,1h 51m,7.6,,,1955,N/A,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",PG,Nicholas Ray
